,userId,itemId
0,1,285
1,1,647
2,1,435
3,1,382
4,1,408
5,1,474
6,1,694
7,1,61
8,1,465
9,1,432
10,2,22
11,2,172
12,2,241
13,2,191
14,2,199
15,2,318
16,2,198
17,2,178
18,2,205
19,2,659
20,3,135
21,3,180
22,3,526
23,3,154
24,3,89
25,3,191
26,3,178
27,3,192
28,3,127
29,3,163
30,4,1136
31,4,1168
32,4,1083
33,4,1508
34,4,922
35,4,1061
36,4,589
37,4,707
38,4,302
39,4,513
40,5,134
41,5,268
42,5,124
43,5,246
44,5,1239
45,5,16
46,5,192
47,5,250
48,5,642
49,5,652
50,6,179
51,6,99
52,6,647
53,6,19
54,6,48
55,6,224
56,6,169
57,6,792
58,6,498
59,6,918
60,7,525
61,7,83
62,7,478
63,7,48
64,7,741
65,7,707
66,7,694
67,7,732
68,7,357
69,7,493
70,8,306
71,8,64
72,8,474
73,8,603
74,8,285
75,8,268
76,8,276
77,8,302
78,8,651
79,8,659
80,9,89
81,9,612
82,9,176
83,9,524
84,9,746
85,9,303
86,9,895
87,9,707
88,9,530
89,9,50
90,10,114
91,10,427
92,10,497
93,10,659
94,10,357
95,10,189
96,10,633
97,10,434
98,10,190
99,10,866
100,11,497
101,11,71
102,11,478
103,11,515
104,11,647
105,11,881
106,11,55
107,11,520
108,11,48
109,11,531
110,12,427
111,12,663
112,12,22
113,12,272
114,12,1062
115,12,1063
116,12,493
117,12,524
118,12,922
119,12,957
120,13,948
121,13,634
122,13,671
123,13,707
124,13,1062
125,13,48
126,13,753
127,13,847
128,13,230
129,13,108
130,14,302
131,14,478
132,14,895
133,14,306
134,14,634
135,14,659
136,14,647
137,14,646
138,14,303
139,14,114
140,15,968
141,15,732
142,15,22
143,15,485
144,15,402
145,15,194
146,15,172
147,15,694
148,15,191
149,15,427
150,16,198
151,16,174
152,16,478
153,16,480
154,16,709
155,16,195
156,16,19
157,16,878
158,16,794
159,16,101
160,17,647
161,17,50
162,17,285
163,17,657
164,17,483
165,17,89
166,17,302
167,17,408
168,17,474
169,17,478
170,18,300
171,18,14
172,18,114
173,18,750
174,18,475
175,18,8
176,18,957
177,18,920
178,18,302
179,18,306
180,19,530
181,19,519
182,19,736
183,19,589
184,19,302
185,19,647
186,19,474
187,19,493
188,19,169
189,19,707
190,20,258
191,20,283
192,20,277
193,20,64
194,20,71
195,20,628
196,20,524
197,20,962
198,20,1018
199,20,478
200,21,180
201,21,357
202,21,32
203,21,414
204,21,234
205,21,89
206,21,179
207,21,519
208,21,169
209,21,203
210,22,9
211,22,302
212,22,22
213,22,64
214,22,516
215,22,12
216,22,647
217,22,276
218,22,408
219,22,357
220,23,302
221,23,313
222,23,660
223,23,169
224,23,516
225,23,659
226,23,48
227,23,895
228,23,589
229,23,525
230,24,647
231,24,663
232,24,198
233,24,612
234,24,484
235,24,611
236,24,298
237,24,589
238,24,513
239,24,273
240,25,169
241,25,272
242,25,302
243,25,303
244,25,175
245,25,1440
246,25,306
247,25,181
248,25,313
249,25,509
250,26,22
251,26,223
252,26,64
253,26,172
254,26,51
255,26,313
256,26,153
257,26,496
258,26,173
259,26,886
260,27,50
261,27,478
262,27,427
263,27,191
264,27,174
265,27,178
266,27,22
267,27,603
268,27,127
269,27,234
270,28,313
271,28,173
272,28,128
273,28,659
274,28,83
275,28,250
276,28,898
277,28,114
278,28,478
279,28,169
280,29,429
281,29,895
282,29,28
283,29,524
284,29,651
285,29,611
286,29,1440
287,29,604
288,29,302
289,29,962
290,30,427
291,30,48
292,30,663
293,30,429
294,30,357
295,30,19
296,30,647
297,30,480
298,30,134
299,30,603
300,31,654
301,31,205
302,31,750
303,31,1133
304,31,160
305,31,169
306,31,866
307,31,1202
308,31,709
309,31,180
310,32,258
311,32,1136
312,32,1141
313,32,1062
314,32,286
315,32,1128
316,32,611
317,32,316
318,32,212
319,32,1069
320,33,1062
321,33,670
322,33,1168
323,33,849
324,33,866
325,33,1061
326,33,699
327,33,716
328,33,463
329,33,316
330,34,647
331,34,866
332,34,663
333,34,463
334,34,611
335,34,849
336,34,285
337,34,302
338,34,653
339,34,914
340,35,670
341,35,458
342,35,936
343,35,866
344,35,878
345,35,1015
346,35,684
347,35,69
348,35,941
349,35,938
350,36,914
351,36,866
352,36,850
353,36,793
354,36,1062
355,36,463
356,36,847
357,36,745
358,36,670
359,36,823
360,37,347
361,37,302
362,37,199
363,37,429
364,37,484
365,37,647
366,37,604
367,37,480
368,37,914
369,37,191
370,38,315
371,38,313
372,38,497
373,38,531
374,38,809
375,38,699
376,38,950
377,38,8
378,38,670
379,38,1062
380,39,604
381,39,1062
382,39,914
383,39,793
384,39,866
385,39,850
386,39,705
387,39,895
388,39,847
389,39,463
390,40,718
391,40,914
392,40,628
393,40,895
394,40,855
395,40,850
396,40,866
397,40,745
398,40,849
399,40,570
400,41,408
401,41,647
402,41,89
403,41,302
404,41,484
405,41,895
406,41,114
407,41,189
408,41,922
409,41,646
410,42,22
411,42,191
412,42,485
413,42,194
414,42,478
415,42,69
416,42,524
417,42,421
418,42,143
419,42,300
420,43,524
421,43,205
422,43,513
423,43,651
424,43,948
425,43,968
426,43,272
427,43,274
428,43,676
429,43,22
430,44,198
431,44,510
432,44,172
433,44,273
434,44,210
435,44,91
436,44,272
437,44,154
438,44,270
439,44,199
440,45,315
441,45,427
442,45,530
443,45,124
444,45,611
445,45,169
446,45,513
447,45,212
448,45,238
449,45,523
450,46,191
451,46,197
452,46,654
453,46,474
454,46,285
455,46,205
456,46,1440
457,46,483
458,46,663
459,46,1508
460,47,718
461,47,463
462,47,866
463,47,850
464,47,716
465,47,895
466,47,1062
467,47,315
468,47,793
469,47,914
470,48,526
471,48,22
472,48,198
473,48,169
474,48,176
475,48,483
476,48,172
477,48,199
478,48,79
479,48,233
480,49,1020
481,49,59
482,49,484
483,49,628
484,49,463
485,49,474
486,49,516
487,49,895
488,49,224
489,49,960
490,50,1202
491,50,591
492,50,964
493,50,1062
494,50,1058
495,50,1168
496,50,1047
497,50,463
498,50,813
499,50,1285
500,51,89
501,51,176
502,51,408
503,51,22
504,51,210
505,51,265
506,51,150
507,51,107
508,51,169
509,51,226
510,52,421
511,52,478
512,52,507
513,52,493
514,52,272
515,52,962
516,52,496
517,52,357
518,52,64
519,52,663
520,53,663
521,53,1062
522,53,866
523,53,1136
524,53,1018
525,53,849
526,53,311
527,53,313
528,53,914
529,53,922
530,54,530
531,54,647
532,54,611
533,54,430
534,54,285
535,54,516
536,54,513
537,54,483
538,54,270
539,54,302
540,55,205
541,55,250
542,55,203
543,55,169
544,55,191
545,55,228
546,55,519
547,55,521
548,55,124
549,55,187
550,56,50
551,56,241
552,56,198
553,56,479
554,56,12
555,56,690
556,56,316
557,56,482
558,56,1062
559,56,430
560,57,302
561,57,508
562,57,25
563,57,172
564,57,430
565,57,169
566,57,272
567,57,1100
568,57,482
569,57,1061
570,58,276
571,58,183
572,58,187
573,58,516
574,58,272
575,58,7
576,58,258
577,58,89
578,58,1038
579,58,273
580,59,347
581,59,493
582,59,484
583,59,747
584,59,455
585,59,153
586,59,48
587,59,652
588,59,741
589,59,9
590,60,589
591,60,189
592,60,258
593,60,203
594,60,516
595,60,866
596,60,169
597,60,1193
598,60,709
599,60,1440
600,61,1062
601,61,914
602,61,628
603,61,663
604,61,429
605,61,705
606,61,850
607,61,915
608,61,524
